"cluster_method","k","ARI","CHI","BIC","PED","Runtime_seconds","scenario","sim_method","seed"
"mixAK",3,0.284183211656027,140.760939092811,NA,27341.2361863753,33.0870282649994,"SCE2","MICE-L",1
"mixAK",4,0.231776142988702,129.972740356906,NA,27865.6837282986,41.5335643291473,"SCE2","MICE-L",1
"mixAK",5,0.219500440352969,104.630036355027,NA,28103.1502338848,49.675094127655,"SCE2","MICE-L",1
"mixAK",2,0.704865047396223,140.153859975237,NA,NA,194.424280643463,"SCE3","MICE-L",1
"mixAK",3,0.66456095020199,93.9563291247793,NA,NA,272.170397520065,"SCE3","MICE-L",1
"mixAK",4,0.681445220686692,62.413898095025,NA,NA,349.787909984589,"SCE3","MICE-L",1
"mixAK",5,0.338718792628846,66.4093235860797,NA,NA,428.883021116257,"SCE3","MICE-L",1
"mixAK",2,0.346467971646488,378.527597026068,NA,19805.5263679948,24.8351514339447,"SCE2","LME-F",1
"mixAK",3,0.242260941284856,323.319618709234,NA,19739.3326267215,31.672322511673,"SCE2","LME-F",1
"mixAK",4,0.281103500499304,328.707299660488,NA,19670.772598158,39.8319380283356,"SCE2","LME-F",1
"mixAK",5,0.300735574850513,265.914467884805,NA,22818.4359581618,48.6633064746857,"SCE2","LME-F",1
"mixAK",2,0.289884510475306,138.404600127896,NA,NA,192.905121326447,"SCE3","LME-F",1
"mixAK",3,0.267082004445414,86.0716857023609,NA,NA,271.113444805145,"SCE3","LME-F",1
"mixAK",4,0.117851940756194,74.0983531625168,NA,NA,350.429081201553,"SCE3","LME-F",1
"mixAK",5,0.170589176575426,55.4868952887606,NA,NA,428.093786478043,"SCE3","LME-F",1
"mixAK",2,0.37672856276922,252.804460646197,NA,25451.6196510888,23.8119053840637,"SCE2","LME-S",1
"mixAK",3,0.258982763374936,214.075624663686,NA,25402.5905553553,31.7129199504852,"SCE2","LME-S",1
"mixAK",4,0.296511746697945,162.365992251792,NA,25417.0600350339,40.2441163063049,"SCE2","LME-S",1
"mixAK",5,0.235069957793474,140.303566443662,NA,27016.7939494293,47.2573585510254,"SCE2","LME-S",1
"mixAK",2,0.663382380292925,149.455892820683,NA,NA,194.250257253647,"SCE3","LME-S",1
"mixAK",3,0.489033150819139,101.244144007245,NA,NA,273.427877902985,"SCE3","LME-S",1
"mixAK",4,0.648134841935385,66.8552488824349,NA,NA,348.221451044083,"SCE3","LME-S",1
"mixAK",5,0.485360314874546,66.1801670751158,NA,NA,428.686812400818,"SCE3","LME-S",1
"mixAK",2,0.340843952438948,210.775146603929,NA,26417.4263916549,24.8753910064697,"SCE2","MICE-CS",1
"mixAK",3,0.263308139097521,168.437776759522,NA,26382.1824005818,31.5820291042328,"SCE2","MICE-CS",1
"mixAK",4,0.266244263025455,132.980238717979,NA,26373.4954928813,39.7282648086548,"SCE2","MICE-CS",1
"mixAK",5,0.21299400723356,115.37299250963,NA,26606.7810912163,47.2890682220459,"SCE2","MICE-CS",1
"mixAK",2,0.395592571298968,207.56184669415,NA,26433.5073835516,24.2238140106201,"SCE2","eCDF-Copula",1
"mixAK",3,0.268243979001791,186.736779883007,NA,26390.8215090998,32.1259882450104,"SCE2","eCDF-Copula",1
"mixAK",4,0.228672183258851,137.635565142858,NA,26399.2701716914,39.8848485946655,"SCE2","eCDF-Copula",1
"mixAK",5,0.211590810763468,111.814231187883,NA,27450.9361887884,47.9808185100555,"SCE2","eCDF-Copula",1
"GBMT",2,0.401782719125893,215.568536124575,20851.0671748656,NA,31.3564012050629,"SCE2","CC",2
"GBMT",3,0.232439115420866,166.898676824961,19086.1505045815,NA,96.9961633682251,"SCE2","CC",2
"GBMT",4,0.291899214990022,141.927968095471,18332.7201208069,NA,92.380960226059,"SCE2","CC",2
"GBMT",5,0.244582305103017,113.503232306906,17956.7504961274,NA,276.248380899429,"SCE2","CC",2
"KML3D",2,0.192187847176455,289.761729334476,NA,NA,0.29591965675354,"SCE2","CC",2
"KML3D",3,0.140346678819722,224.087089825466,NA,NA,0.255247116088867,"SCE2","CC",2
"KML3D",4,0.129492201756734,178.305554041354,NA,NA,0.307637214660645,"SCE2","CC",2
"KML3D",5,0.134278303028779,147.94317710261,NA,NA,0.34334397315979,"SCE2","CC",2
"flexmix",2,0.334821075289239,230.62207809539,22961.4058670244,NA,0.180972576141357,"SCE2","CC",2
"flexmix",3,0.219786892516949,199.17164956923,20749.245503186,NA,0.238290548324585,"SCE2","CC",2
"flexmix",4,0.195311560577604,148.434863806025,19985.8266697834,NA,0.407455444335938,"SCE2","CC",2
"flexmix",5,0.178146030503932,119.055665400379,19591.3397781896,NA,2.76153683662415,"SCE2","CC",2
"LCMM",2,0.101188970402226,274.113273875629,24778.0224962094,NA,27.8229944705963,"SCE2","CC",2
"LCMM",3,0.110982213293282,277.067858719531,24790.0054251923,NA,40.7835066318512,"SCE2","CC",2
"LCMM",4,0.114347211945921,277.477576165515,24801.9883542866,NA,119.885217428207,"SCE2","CC",2
"LCMM",5,0.188127735089985,187.294843843031,24783.5825312969,NA,162.882887601852,"SCE2","CC",2
"GBMT",2,0.950501019941866,93.4583006417137,244908.616502625,NA,29.5215494632721,"SCE3","CC",2
"GBMT",3,0.712383515044218,85.5388798553978,237350.809066049,NA,95.7569785118103,"SCE3","CC",2
"GBMT",4,0.63128453269638,48.6467599473998,235248.98431786,NA,131.63224697113,"SCE3","CC",2
"GBMT",5,0.595755558633373,30.7836480881865,234176.334480714,NA,80.794842004776,"SCE3","CC",2
"KML3D",2,0.170858110761419,61.0258665454305,NA,NA,0.478115558624268,"SCE3","CC",2
"KML3D",3,0.230080356694883,66.0574519888858,NA,NA,0.59606146812439,"SCE3","CC",2
"KML3D",4,0.193896012060123,58.8048563632302,NA,NA,0.714544534683228,"SCE3","CC",2
"KML3D",5,0.381029870276032,54.1692441610328,NA,NA,0.860682010650635,"SCE3","CC",2
"flexmix",2,0.495791679911784,81.250963112372,267222.745296213,NA,0.652523994445801,"SCE3","CC",2
"flexmix",3,0.472318930396453,63.0715521302612,254096.565929673,NA,1.52989506721497,"SCE3","CC",2
"flexmix",4,0.354361663770398,66.9105688719146,248955.268853765,NA,2.06544613838196,"SCE3","CC",2
"flexmix",5,0.333546714174099,43.3503308340723,245743.387625865,NA,1.92906045913696,"SCE3","CC",2
"GBMT",2,0.401757168481238,214.505676648185,21461.7361134243,NA,36.150218963623,"SCE2","MICE-L",2
"GBMT",3,0.309161464942748,141.834507186736,19802.1560704038,NA,115.709420204163,"SCE2","MICE-L",2
"GBMT",4,0.262491180496828,126.896736592195,19048.2636930814,NA,164.64934015274,"SCE2","MICE-L",2
"GBMT",5,0.207778700056584,111.013974638868,18660.9506243983,NA,350.939309597015,"SCE2","MICE-L",2
"KML3D",2,0.196587768005283,289.255182999002,NA,NA,0.184359312057495,"SCE2","MICE-L",2
"KML3D",3,0.189835469984615,204.754961626481,NA,NA,0.226829528808594,"SCE2","MICE-L",2
"KML3D",4,0.182342968057294,163.668463100634,NA,NA,0.285922050476074,"SCE2","MICE-L",2
"KML3D",5,0.174884102894307,133.469017670254,NA,NA,0.358530044555664,"SCE2","MICE-L",2
"flexmix",2,0.389158406075338,229.027097727461,23300.6134289857,NA,0.127633333206177,"SCE2","MICE-L",2
"flexmix",3,0.229084962143414,172.369769760155,21132.7686566091,NA,0.530779123306274,"SCE2","MICE-L",2
"flexmix",4,0.206902914290037,140.451059814816,20213.8694671559,NA,0.592153787612915,"SCE2","MICE-L",2
"flexmix",5,0.165436464697249,122.822173229768,19899.3744724352,NA,1.21394991874695,"SCE2","MICE-L",2
"LCMM",2,0.300895212845728,256.290674398495,24548.3415021069,NA,10.7405014038086,"SCE2","MICE-L",2
"LCMM",3,0.143051433571779,280.187252776352,24452.7863612912,NA,30.370760679245,"SCE2","MICE-L",2
"LCMM",4,0.146869452534262,281.744635132149,24464.7692903852,NA,83.0785057544708,"SCE2","MICE-L",2
"LCMM",5,0.195847331400149,191.193267561155,24440.5171103936,NA,144.171564102173,"SCE2","MICE-L",2
"GBMT",2,0.756290175717887,136.51525832946,235647.88570697,NA,42.1059260368347,"SCE3","MICE-L",2
"GBMT",3,0.466945947666966,97.4588733523563,227911.993831266,NA,95.1022601127624,"SCE3","MICE-L",2
"GBMT",4,0.446631166659332,74.4662181156773,224771.780064403,NA,116.336294651031,"SCE3","MICE-L",2
