"scenario","sim_method","cluster_method","k","n_seeds","ARI_mean","ARI_sd","ARI_se","CHI_mean","CHI_sd","CHI_se","BIC_mean","BIC_sd","PED_mean","PED_sd","Runtime_mean"
"SCE2","LME-S","flexmix",5,10,0.177715888689759,0.0185064944751679,0.0058522674046853,146.166426465681,20.3635640935033,6.43952438142925,18938.8284239077,589.864789297926,NA,NA,0.892592620849609
"SCE2","LME-S","mixAK",2,10,0.380496658002978,0.0549206802236592,0.0173674440152529,262.931531238008,28.6186738289922,9.05001929130674,NA,NA,25802.5069699538,504.464469157249,23.3961914777756
"SCE2","LME-S","mixAK",3,10,0.280075629446052,0.0563209355799231,0.0178102436384173,190.725352091375,17.5934408087043,5.56353448348604,NA,NA,25771.5615356081,501.387227674667,30.9573082447052
"SCE2","LME-S","mixAK",4,10,0.225106111493672,0.0391998810537874,0.0123960908137649,161.599067287963,15.2186258540868,4.81255205568397,NA,NA,26319.1597219898,973.022984432731,38.8991713047028
"SCE2","LME-S","mixAK",5,10,0.213985154493666,0.0354444524395144,0.0112085200126377,127.582298775473,16.0232726617458,5.06700371810254,NA,NA,26847.6086547206,801.698733150995,46.6795582056046
"SCE2","MICE-CS","GBMT",2,9,0.407461327585923,0.0721631853438977,0.0240543951146326,205.596941998596,22.7113966915577,7.57046556385257,21307.4261550619,633.693173886152,NA,NA,33.5090564621819
"SCE2","MICE-CS","GBMT",3,9,0.279904108833729,0.0278587911489288,0.00928626371630959,155.478155698996,21.0883578517592,7.02945261725308,19781.50077782,664.433792175572,NA,NA,103.810670084423
"SCE2","MICE-CS","GBMT",4,9,0.285474643938806,0.0451128242190866,0.0150376080730289,122.420498836765,16.7596616135341,5.58655387117804,19119.7341634644,668.297562607214,NA,NA,169.967263407177
"SCE2","MICE-CS","GBMT",5,9,0.243595367091836,0.0351516824637796,0.0117172274879265,106.661943516578,14.2361081577721,4.74536938592402,18616.5211300612,619.719868870264,NA,NA,259.522588597404
"SCE2","MICE-CS","KML3D",2,9,0.215113246376758,0.0427145329990882,0.0142381776663627,269.655945759612,33.9864610692584,11.3288203564195,NA,NA,NA,NA,0.218127753999498
"SCE2","MICE-CS","KML3D",3,9,0.251256877349064,0.0513825996335214,0.0171275332111738,200.330962825301,20.0114164318576,6.67047214395255,NA,NA,NA,NA,0.221427573098077
"SCE2","MICE-CS","KML3D",4,9,0.204481678920954,0.0282324209829743,0.00941080699432475,158.330685872251,16.8126050418006,5.60420168060019,NA,NA,NA,NA,0.271788676579793
"SCE2","MICE-CS","KML3D",5,9,0.183945005755098,0.0179053676110371,0.0059684558703457,129.095172042788,13.3349254808143,4.44497516027144,NA,NA,NA,NA,0.305708938174778
"SCE2","MICE-CS","LCMM",2,9,0.110509528405758,0.0785890490809525,0.0261963496936508,229.583543786791,35.9393924474721,11.9797974824907,24672.1984614883,499.077650247818,NA,NA,23.5113803810543
"SCE2","MICE-CS","LCMM",3,9,0.109982575121582,0.0580950342287129,0.019365011409571,244.199517952525,47.6440089412081,15.881336313736,24668.8738227089,539.244830964728,NA,NA,29.1908198197683
